player_id,player_name,firstname,lastname,number,position,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,rating,Our_rating,team_id,team_name,league_id,league,season,captain,shots/total,shots/on,goals/total,goals/conceded,goals/assists,goals/saves,passes/total,passes/key,passes/accuracy,tackles/total,tackles/blocks,tackles/interceptions,duels/total,duels/won,dribbles/attempts,dribbles/success,fouls/drawn,fouls/committed,cards/yellow,cards/yellowred,cards/red,penalty/won,penalty/commited,penalty/success,penalty/missed,penalty/saved,games/appearences,games/minutes_played,games/lineups,substitutes/in,substitutes/out,substitutes/bench
1447,Nacho Monreal,Ignacio,Monreal Eraso,,Defender,35,26/02/1986,Pamplona,Spain,Spain,179 cm,72 kg,,6.733333,6.729846198926422,42,Arsenal,524,Premier League,2019-2020,1,1,0,0,0,0,0,155,3,85,1,1,3,25,11,4,2,1,1,0,0,0,0,0,0,0,0,3,270,3,0,0,0
1462,L. Torreira,Lucas,Torreira Di Pascua,,Midfielder,25,11/02/1996,Fray Bentos,Uruguay,Uruguay,168 cm,64 kg,,6.779310000000001,6.884678845148508,42,Arsenal,524,Premier League,2019-2020,0,21,6,1,0,1,0,793,14,83,31,8,34,182,101,23,17,43,24,7,0,0,0,0,0,0,0,29,1509,17,12,9,16
19599,E. Martu00ednez,Damiu00e1n Emiliano,Martu00ednez,,Goalkeeper,29,02/09/1992,Mar del Plata,Argentina,Argentina,195 cm,88 kg,,7.244444000000001,6.592644106960673,42,Arsenal,524,Premier League,2019-2020,0,0,0,0,9,0,34,165,0,68,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,770,8,1,0,30
1438,B. Leno,Bernd,Leno,,Goalkeeper,29,04/03/1992,Bietigheim-Bissingen,Germany,Germany,190 cm,83 kg,,7.08,6.40726592872271,42,Arsenal,524,Premier League,2019-2020,0,0,0,0,41,0,113,578,0,72,0,0,0,18,14,1,1,4,0,2,0,0,0,0,0,0,1,30,2650,30,0,1,0
1439,Belleru00edn,Hu00e9ctor,Belleru00edn Moruno,,Defender,26,19/03/1995,Barcelona,Spain,Spain,178 cm,74 kg,,6.628571000000001,6.6210949970649695,42,Arsenal,524,Premier League,2019-2020,1,7,2,1,0,0,0,468,3,74,20,4,19,128,54,31,18,3,15,2,0,0,0,0,0,0,0,15,1159,13,2,3,7
1117,K. Tierney,Kieran,Tierney,,Defender,24,05/06/1997,Douglas,Isle of Man,Scotland,178 cm,70 kg,,6.84,6.754125169574501,42,Arsenal,524,Premier League,2019-2020,0,6,2,1,0,1,0,346,6,75,20,4,9,88,53,15,12,12,8,2,0,0,0,1,0,0,0,15,992,12,3,6,7
1450,S. Papastathopoulos,Sokratis,Papastathopoulos,,Defender,33,09/06/1988,Kalamata,Greece,Greece,186 cm,85 kg,,6.942105000000001,6.793921808636986,42,Arsenal,524,Premier League,2019-2020,0,7,2,2,0,0,0,905,2,87,25,24,17,162,100,5,5,12,19,6,0,0,0,0,0,0,0,19,1697,19,0,1,13
1440,R. Holding,Rob,Holding,,Defender,26,20/09/1995,Stalybridge,England,England,189 cm,75 kg,,6.775,6.672043775283904,42,Arsenal,524,Premier League,2019-2020,0,2,0,0,0,0,0,306,0,84,4,6,5,49,25,4,2,3,4,1,0,0,0,0,0,0,0,8,580,6,2,1,12
190,Cu00e9dric Soares,Cu00e9dric Ricardo,Alves Soares,,Defender,30,31/08/1991,Singen,Germany,Portugal,172 cm,67 kg,,6.86,6.7537019199945885,42,Arsenal,524,Premier League,2019-2020,0,1,1,1,0,0,0,79,1,76,8,0,3,25,13,2,2,1,6,0,0,0,0,0,0,0,0,5,250,3,2,3,3
1448,S. Mustafi,Shkodran,Mustafi,,Defender,29,17/04/1992,Bad Hersfeld,Germany,Germany,184 cm,82 kg,,6.986666,6.769086275918251,42,Arsenal,524,Premier League,2019-2020,0,11,4,0,0,1,0,691,3,80,17,6,18,130,88,3,3,3,14,2,0,0,0,0,0,0,0,15,1206,13,2,1,5
